Code,Area,Year,,Year_adj,Sex,FSM,Pupils,Attainment8,Progress8
E09000002,Barking and Dagenham,2015/16,2015,2015,All,All other Pupils,1772,51,0.2
E09000002,Barking and Dagenham,2015/16,2015,2015,Boys,All other Pupils,886,48.5,0.02
E09000002,Barking and Dagenham,2015/16,2015,2015,Girls,All other Pupils,886,53.4,0.39
E09000002,Barking and Dagenham,2015/16,2015,2015,All,All Pupils,2201,49.7,0.15
E09000002,Barking and Dagenham,2015/16,2015,2015,Boys,All Pupils,1110,47.6,-0.02
E09000002,Barking and Dagenham,2015/16,2015,2015,Girls,All Pupils,1091,51.8,0.32
E09000002,Barking and Dagenham,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,429,44.4,-0.06
E09000002,Barking and Dagenham,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,224,44.2,-0.15
E09000002,Barking and Dagenham,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,205,44.6,0.04
E09000003,Barnet,2015/16,2015,2015,All,All other Pupils,3107,57.9,0.39
E09000003,Barnet,2015/16,2015,2015,Boys,All other Pupils,1585,56.8,0.31
E09000003,Barnet,2015/16,2015,2015,Girls,All other Pupils,1522,59.1,0.48
E09000003,Barnet,2015/16,2015,2015,All,All Pupils,3647,56.1,0.33
E09000003,Barnet,2015/16,2015,2015,Boys,All Pupils,1856,54.6,0.22
E09000003,Barnet,2015/16,2015,2015,Girls,All Pupils,1791,57.5,0.44
E09000003,Barnet,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,540,45.3,-0.02
E09000003,Barnet,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,271,42.2,-0.29
E09000003,Barnet,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,269,48.6,0.26
E09000004,Bexley,2015/16,2015,2015,All,All other Pupils,2892,53.5,0.01
E09000004,Bexley,2015/16,2015,2015,Boys,All other Pupils,1510,51.1,-0.13
E09000004,Bexley,2015/16,2015,2015,Girls,All other Pupils,1382,56.2,0.15
E09000004,Bexley,2015/16,2015,2015,All,All Pupils,3192,52.2,-0.04
E09000004,Bexley,2015/16,2015,2015,Boys,All Pupils,1641,50,-0.16
E09000004,Bexley,2015/16,2015,2015,Girls,All Pupils,1551,54.6,0.08
E09000004,Bexley,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,300,39.7,-0.56
E09000004,Bexley,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,131,37.3,-0.57
E09000004,Bexley,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,169,41.5,-0.55
E09000005,Brent,2015/16,2015,2015,All,All other Pupils,2586,52.7,0.36
E09000005,Brent,2015/16,2015,2015,Boys,All other Pupils,1286,50.7,0.2
E09000005,Brent,2015/16,2015,2015,Girls,All other Pupils,1300,54.7,0.52
E09000005,Brent,2015/16,2015,2015,All,All Pupils,3035,51.5,0.31
E09000005,Brent,2015/16,2015,2015,Boys,All Pupils,1515,49.2,0.15
E09000005,Brent,2015/16,2015,2015,Girls,All Pupils,1520,53.7,0.46
E09000005,Brent,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,449,44.1,0
E09000005,Brent,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,229,40.8,-0.16
E09000005,Brent,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,220,47.6,0.15
E09000006,Bromley,2015/16,2015,2015,All,All other Pupils,3028,55,0.16
E09000006,Bromley,2015/16,2015,2015,Boys,All other Pupils,1454,53.8,0.11
E09000006,Bromley,2015/16,2015,2015,Girls,All other Pupils,1574,56.1,0.21
E09000006,Bromley,2015/16,2015,2015,All,All Pupils,3305,53.7,0.1
E09000006,Bromley,2015/16,2015,2015,Boys,All Pupils,1587,52.4,0.04
E09000006,Bromley,2015/16,2015,2015,Girls,All Pupils,1718,54.9,0.15
E09000006,Bromley,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,277,39.7,-0.57
E09000006,Bromley,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,133,37.2,-0.68
E09000006,Bromley,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,144,42,-0.47
E09000007,Camden,2015/16,2015,2015,All,All other Pupils,980,53.6,0.14
E09000007,Camden,2015/16,2015,2015,Boys,All other Pupils,416,48.6,-0.18
E09000007,Camden,2015/16,2015,2015,Girls,All other Pupils,564,57.2,0.36
E09000007,Camden,2015/16,2015,2015,All,All Pupils,1422,50.6,0
E09000007,Camden,2015/16,2015,2015,Boys,All Pupils,605,45.8,-0.3
E09000007,Camden,2015/16,2015,2015,Girls,All Pupils,817,54.1,0.23
E09000007,Camden,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,442,43.9,-0.28
E09000007,Camden,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,189,39.7,-0.56
E09000007,Camden,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,253,47,-0.08
E09000001,City of London,2015/16,2015,2015,All,All other Pupils,.,.,.
E09000001,City of London,2015/16,2015,2015,Boys,All other Pupils,.,.,.
E09000001,City of London,2015/16,2015,2015,Girls,All other Pupils,.,.,.
E09000001,City of London,2015/16,2015,2015,All,All Pupils,.,.,.
E09000001,City of London,2015/16,2015,2015,Boys,All Pupils,.,.,.
E09000001,City of London,2015/16,2015,2015,Girls,All Pupils,.,.,.
E09000001,City of London,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,.,.,.
E09000001,City of London,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,.,.,.
E09000001,City of London,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,.,.,.
E09000008,Croydon,2015/16,2015,2015,All,All other Pupils,3201,49.7,0.14
E09000008,Croydon,2015/16,2015,2015,Boys,All other Pupils,1557,46.2,0.01
E09000008,Croydon,2015/16,2015,2015,Girls,All other Pupils,1644,53.1,0.27
E09000008,Croydon,2015/16,2015,2015,All,All Pupils,3844,48.5,0.08
E09000008,Croydon,2015/16,2015,2015,Boys,All Pupils,1885,45.1,-0.07
E09000008,Croydon,2015/16,2015,2015,Girls,All Pupils,1959,51.9,0.22
E09000008,Croydon,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,643,42.7,-0.2
E09000008,Croydon,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,328,39.9,-0.41
E09000008,Croydon,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,315,45.5,0.01
E09000009,Ealing,2015/16,2015,2015,All,All other Pupils,2258,52.7,0.36
E09000009,Ealing,2015/16,2015,2015,Boys,All other Pupils,1157,50.3,0.22
E09000009,Ealing,2015/16,2015,2015,Girls,All other Pupils,1101,55.1,0.5
E09000009,Ealing,2015/16,2015,2015,All,All Pupils,2781,50.9,0.28
E09000009,Ealing,2015/16,2015,2015,Boys,All Pupils,1427,48.5,0.13
E09000009,Ealing,2015/16,2015,2015,Girls,All Pupils,1354,53.5,0.44
E09000009,Ealing,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,523,43.5,-0.03
E09000009,Ealing,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,270,40.7,-0.24
E09000009,Ealing,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,253,46.5,0.19
E09000010,Enfield,2015/16,2015,2015,All,All other Pupils,2956,52.2,0.1
E09000010,Enfield,2015/16,2015,2015,Boys,All other Pupils,1485,50.3,-0.07
E09000010,Enfield,2015/16,2015,2015,Girls,All other Pupils,1471,54.2,0.27
E09000010,Enfield,2015/16,2015,2015,All,All Pupils,3579,50.4,0.05
E09000010,Enfield,2015/16,2015,2015,Boys,All Pupils,1808,48.2,-0.12
E09000010,Enfield,2015/16,2015,2015,Girls,All Pupils,1771,52.7,0.23
E09000010,Enfield,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,623,41.9,-0.15
E09000010,Enfield,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,323,38.5,-0.34
E09000010,Enfield,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,300,45.5,0.04
E09000011,Greenwich,2015/16,2015,2015,All,All other Pupils,1790,51.1,0.06
E09000011,Greenwich,2015/16,2015,2015,Boys,All other Pupils,887,49.1,-0.04
E09000011,Greenwich,2015/16,2015,2015,Girls,All other Pupils,903,53,0.15
E09000011,Greenwich,2015/16,2015,2015,All,All Pupils,2204,49.6,-0.01
E09000011,Greenwich,2015/16,2015,2015,Boys,All Pupils,1093,47.7,-0.1
E09000011,Greenwich,2015/16,2015,2015,Girls,All Pupils,1111,51.5,0.08
E09000011,Greenwich,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,414,43,-0.29
E09000011,Greenwich,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,206,41.3,-0.34
E09000011,Greenwich,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,208,44.7,-0.23
E09000012,Hackney,2015/16,2015,2015,All,All other Pupils,1351,55.2,0.48
E09000012,Hackney,2015/16,2015,2015,Boys,All other Pupils,571,52.3,0.39
E09000012,Hackney,2015/16,2015,2015,Girls,All other Pupils,780,57.4,0.55
E09000012,Hackney,2015/16,2015,2015,All,All Pupils,2038,52.5,0.35
E09000012,Hackney,2015/16,2015,2015,Boys,All Pupils,916,49.5,0.23
E09000012,Hackney,2015/16,2015,2015,Girls,All Pupils,1122,54.9,0.45
E09000012,Hackney,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,687,47,0.1
E09000012,Hackney,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,345,44.8,-0.02
E09000012,Hackney,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,342,49.2,0.23
E09000013,Hammersmith and Fulham,2015/16,2015,2015,All,All other Pupils,1063,56.3,0.19
E09000013,Hammersmith and Fulham,2015/16,2015,2015,Boys,All other Pupils,497,53.7,0.05
E09000013,Hammersmith and Fulham,2015/16,2015,2015,Girls,All other Pupils,566,58.6,0.31
E09000013,Hammersmith and Fulham,2015/16,2015,2015,All,All Pupils,1350,54.1,0.12
E09000013,Hammersmith and Fulham,2015/16,2015,2015,Boys,All Pupils,649,51.3,-0.02
E09000013,Hammersmith and Fulham,2015/16,2015,2015,Girls,All Pupils,701,56.7,0.26
E09000013,Hammersmith and Fulham,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,287,45.7,-0.09
E09000013,Hammersmith and Fulham,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,152,43.4,-0.22
E09000013,Hammersmith and Fulham,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,135,48.3,0.07
E09000014,Haringey,2015/16,2015,2015,All,All other Pupils,1638,52.4,0.35
E09000014,Haringey,2015/16,2015,2015,Boys,All other Pupils,784,50.1,0.28
E09000014,Haringey,2015/16,2015,2015,Girls,All other Pupils,854,54.4,0.42
E09000014,Haringey,2015/16,2015,2015,All,All Pupils,2231,50.1,0.28
E09000014,Haringey,2015/16,2015,2015,Boys,All Pupils,1112,47.5,0.18
E09000014,Haringey,2015/16,2015,2015,Girls,All Pupils,1119,52.6,0.37
E09000014,Haringey,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,593,43.8,0.09
E09000014,Haringey,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,328,41.3,-0.04
E09000014,Haringey,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,265,46.8,0.23
E09000015,Harrow,2015/16,2015,2015,All,All other Pupils,1848,54,0.33
E09000015,Harrow,2015/16,2015,2015,Boys,All other Pupils,932,51.5,0.14
E09000015,Harrow,2015/16,2015,2015,Girls,All other Pupils,916,56.5,0.52
E09000015,Harrow,2015/16,2015,2015,All,All Pupils,2127,53.1,0.32
E09000015,Harrow,2015/16,2015,2015,Boys,All Pupils,1063,50.7,0.11
E09000015,Harrow,2015/16,2015,2015,Girls,All Pupils,1064,55.6,0.52
E09000015,Harrow,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,279,47.4,0.25
E09000015,Harrow,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,131,44.6,-0.07
E09000015,Harrow,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,148,49.8,0.52
E09000016,Havering,2015/16,2015,2015,All,All other Pupils,2613,51.4,-0.08
E09000016,Havering,2015/16,2015,2015,Boys,All other Pupils,1323,49.5,-0.21
E09000016,Havering,2015/16,2015,2015,Girls,All other Pupils,1290,53.4,0.06
E09000016,Havering,2015/16,2015,2015,All,All Pupils,2917,50,-0.14
E09000016,Havering,2015/16,2015,2015,Boys,All Pupils,1481,48.3,-0.28
E09000016,Havering,2015/16,2015,2015,Girls,All Pupils,1436,51.8,0
E09000016,Havering,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,304,38.1,-0.68
E09000016,Havering,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,158,38.3,-0.78
E09000016,Havering,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,146,38,-0.56
E09000017,Hillingdon,2015/16,2015,2015,All,All other Pupils,2651,53.2,0.13
E09000017,Hillingdon,2015/16,2015,2015,Boys,All other Pupils,1401,51.1,0.02
E09000017,Hillingdon,2015/16,2015,2015,Girls,All other Pupils,1250,55.4,0.26
E09000017,Hillingdon,2015/16,2015,2015,All,All Pupils,3136,51.2,0.06
E09000017,Hillingdon,2015/16,2015,2015,Boys,All Pupils,1637,49.4,-0.05
E09000017,Hillingdon,2015/16,2015,2015,Girls,All Pupils,1499,53.2,0.19
E09000017,Hillingdon,2015/16,2015,2015,All,Pupils known to be eligible for free school meals,485,40.7,-0.32
E09000017,Hillingdon,2015/16,2015,2015,Boys,Pupils known to be eligible for free school meals,236,39.4,-0.45
E09000017,Hillingdon,2015/16,2015,2015,Girls,Pupils known to be eligible for free school meals,249,42,-0.19
E09000018,Hounslow,2015/16,2015,2015,All,All other Pupils,2287,51.8,0.33
E09000018,Hounslow,2015/16,2015,2015,Boys,All other Pupils,1169,49.3,0.19
E09000018,Hounslow,2015/16,2015,2015,Girls,All other Pupils,1118,54.5,0.47
E09000018,Hounslow,2015/16,2015,2015,All,All Pupils,2667,51.1,0.29
