Code,Area,Year,,Year_adj,Sex,Pupils,Attainment8,Progress8
E09000002,Barking and Dagenham,2015/16,2015,2015,All,2201,49.7,0.15
E09000002,Barking and Dagenham,2015/16,2015,2015,Boys,1110,47.6,-0.02
E09000002,Barking and Dagenham,2015/16,2015,2015,Girls,1091,51.8,0.32
E09000003,Barnet,2015/16,2015,2015,All,3647,56.1,0.33
E09000003,Barnet,2015/16,2015,2015,Boys,1856,54.6,0.22
E09000003,Barnet,2015/16,2015,2015,Girls,1791,57.5,0.44
E09000004,Bexley,2015/16,2015,2015,All,3192,52.2,-0.04
E09000004,Bexley,2015/16,2015,2015,Boys,1641,50,-0.16
E09000004,Bexley,2015/16,2015,2015,Girls,1551,54.6,0.08
E09000005,Brent,2015/16,2015,2015,All,3035,51.5,0.31
E09000005,Brent,2015/16,2015,2015,Boys,1515,49.2,0.15
E09000005,Brent,2015/16,2015,2015,Girls,1520,53.7,0.46
E09000006,Bromley,2015/16,2015,2015,All,3305,53.7,0.1
E09000006,Bromley,2015/16,2015,2015,Boys,1587,52.4,0.04
E09000006,Bromley,2015/16,2015,2015,Girls,1718,54.9,0.15
E09000007,Camden,2015/16,2015,2015,All,1422,50.6,0
E09000007,Camden,2015/16,2015,2015,Boys,605,45.8,-0.3
E09000007,Camden,2015/16,2015,2015,Girls,817,54.1,0.23
E09000001,City of London,2015/16,2015,2015,All,.,.,.
E09000001,City of London,2015/16,2015,2015,Boys,.,.,.
E09000001,City of London,2015/16,2015,2015,Girls,.,.,.
E09000008,Croydon,2015/16,2015,2015,All,3844,48.5,0.08
E09000008,Croydon,2015/16,2015,2015,Boys,1885,45.1,-0.07
E09000008,Croydon,2015/16,2015,2015,Girls,1959,51.9,0.22
E09000009,Ealing,2015/16,2015,2015,All,2781,50.9,0.28
E09000009,Ealing,2015/16,2015,2015,Boys,1427,48.5,0.13
E09000009,Ealing,2015/16,2015,2015,Girls,1354,53.5,0.44
E09000010,Enfield,2015/16,2015,2015,All,3579,50.4,0.05
E09000010,Enfield,2015/16,2015,2015,Boys,1808,48.2,-0.12
E09000010,Enfield,2015/16,2015,2015,Girls,1771,52.7,0.23
